,"concentric_LIN_cars=0300(L)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(L)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10"
256,15466.147952499006,16560.758814230823,16429.25381881923,16251.008326390984
257,15565.407148009715,16616.423696917045,16162.08870556613,16006.064469056553
258,15780.56394882196,16527.96110138455,16395.620335371328,16078.721227895943
259,15381.082507142619,16801.8091037521,16468.156277878905,16189.12867340546
260,15546.060617561649,16743.081864364864,15917.706680258318,15746.31425732794
261,15650.982605139068,16574.18684943662,16138.087459541268,16025.603154167524
262,15672.392989381355,16469.366853696978,16523.567673643254,16323.244826939186
263,15639.12878404733,16438.382467942338,16771.496112970093,16556.817603117383
264,15780.861304447819,16703.992782620586,16128.826851102083,16144.4030473104
265,15510.669530267352,16454.94176269348,16552.05550569647,16476.857100371428
266,15802.284657547263,16564.59703283325,16418.239353568293,16220.045906789801
267,15500.34011496372,16368.179285439632,16435.351617209217,16333.574188101667
268,15663.926171256779,16380.81429590192,16694.783524689297,16419.008202425724
269,15130.09678893143,16589.564357141317,17107.266537195872,16999.088707853036
270,15174.430948907731,16594.030224415008,16144.66713821591,15793.869030653655
271,15368.553326463325,16771.981978863994,16566.635130667215,16370.629339658024
272,15270.749453509325,16536.380966286524,16625.035583578294,16498.993842141554
273,15265.859358640717,16678.390241344878,16620.3322724487,16547.1608916421
274,15718.263904314925,16432.093477217786,16212.32876841774,16121.568067220773
275,15354.995616065418,16237.460912557633,16557.52016789068,16335.122578333196
276,15511.28745040823,16512.659986467334,16213.648162491336,16031.41826562996
277,15788.638958779942,16547.14576962738,15940.279946562336,15835.291837820645
278,15257.404897608245,16564.902594883086,16537.77505102434,16306.823296968178
279,15173.624303802735,16530.827860749065,16553.691126377253,16300.019649253234
280,15466.368649036853,16650.61007088757,16513.69749061383,16507.25652798052
281,15027.99810474804,16590.876653162813,16583.059032886064,16405.151193694343
282,15398.77088907295,16416.73431705412,16145.16700956908,16059.204263911504
283,15713.743137106636,16557.983797095396,16436.32959823351,16259.580755772378
284,15568.401402836711,16507.30456708132,16354.254485326466,16285.672851383442
285,15496.510703753034,16476.9919591082,16051.658479872383,15905.495124085159
286,15512.060899149807,16024.820298241222,16468.65733717655,16299.713937669974
287,15151.7717120045,16516.586005343703,16582.887818654126,16534.679975332816
288,15269.966673382212,16749.936899792534,16651.847086945363,16476.384309926452
289,15445.791184403402,16522.20804073477,16400.428739461287,16297.491583241432
290,15389.410494167667,16292.182998385553,16446.52428918104,16211.371804328468
291,15540.790055578089,16764.007938404695,16086.0352439968,15903.225741101394
292,15487.213057864623,16277.534871073009,16809.879244524913,16645.888582290347
293,15546.575619295421,16602.704885644158,16272.641139216257,16135.135119427947
294,15455.748088309563,16845.614696909935,16384.894763781143,16037.717270910953
295,15503.470557001558,16411.82931200829,16069.232952099554,16039.50819567912
296,14959.20656432466,16325.397748035859,16292.41256281927,16199.780706900878
297,15384.964614393377,16246.802479056638,15735.547751335771,15570.812960126173
298,15348.056077643992,16415.484471785778,16439.482446036393,16243.377825241707
299,15398.907581639674,16326.664727133853,16665.98447961079,16517.206823972483
